Actor,ActorLink,EpisodeCount,EpisodeCountLink,Role,RoleLink
"Jennifer Aniston","http://www.imdb.com/name/nm0000098/?ref_=ttfc_fc_cl_t1","238","http://www.imdb.com/character/ch0007142/?ref_=ttfc_fc_cl_t1","Rachel Green","http://www.imdb.com/character/ch0007142/?ref_=ttfc_fc_cl_t1"
"Courteney Cox","http://www.imdb.com/name/nm0001073/?ref_=ttfc_fc_cl_t2","238","http://www.imdb.com/character/ch0007149/?ref_=ttfc_fc_cl_t2","Monica Geller","http://www.imdb.com/character/ch0007149/?ref_=ttfc_fc_cl_t2"
"Lisa Kudrow","http://www.imdb.com/name/nm0001435/?ref_=ttfc_fc_cl_t3","238","http://www.imdb.com/character/ch0007157/?ref_=ttfc_fc_cl_t3","Phoebe Buffay","http://www.imdb.com/character/ch0007157/?ref_=ttfc_fc_cl_t3"
"Matt LeBlanc","http://www.imdb.com/name/nm0001455/?ref_=ttfc_fc_cl_t4","238","http://www.imdb.com/character/ch0007159/?ref_=ttfc_fc_cl_t4","Joey Tribbiani","http://www.imdb.com/character/ch0007159/?ref_=ttfc_fc_cl_t4"
"Matthew Perry","http://www.imdb.com/name/nm0001612/?ref_=ttfc_fc_cl_t5","238","http://www.imdb.com/character/ch0007147/?ref_=ttfc_fc_cl_t5","Chandler Bing","http://www.imdb.com/character/ch0007147/?ref_=ttfc_fc_cl_t5"
"David Schwimmer","http://www.imdb.com/name/nm0001710/?ref_=ttfc_fc_cl_t6","238","http://www.imdb.com/character/ch0007153/?ref_=ttfc_fc_cl_t6","Dr. Ross Geller","http://www.imdb.com/character/ch0007153/?ref_=ttfc_fc_cl_t6"
"James Michael Tyler","http://www.imdb.com/name/nm0878837/?ref_=ttfc_fc_cl_t7","148","http://www.imdb.com/character/ch0007169/?ref_=ttfc_fc_cl_t7","Gunther","http://www.imdb.com/character/ch0007169/?ref_=ttfc_fc_cl_t7"
"Elliott Gould","http://www.imdb.com/name/nm0001285/?ref_=ttfc_fc_cl_t8","21","http://www.imdb.com/character/ch0007165/?ref_=ttfc_fc_cl_t8","Jack Geller","http://www.imdb.com/character/ch0007165/?ref_=ttfc_fc_cl_t8"
"Christina Pickles","http://www.imdb.com/name/nm0681943/?ref_=ttfc_fc_cl_t9","20","http://www.imdb.com/character/ch0007174/?ref_=ttfc_fc_cl_t9","Judy Geller","http://www.imdb.com/character/ch0007174/?ref_=ttfc_fc_cl_t9"
"Paul Rudd","http://www.imdb.com/name/nm0748620/?ref_=ttfc_fc_cl_t10","19","http://www.imdb.com/character/ch0007146/?ref_=ttfc_fc_cl_t10","Mike Hannigan","http://www.imdb.com/character/ch0007146/?ref_=ttfc_fc_cl_t10"
"Maggie Wheeler","http://www.imdb.com/name/nm0923909/?ref_=ttfc_fc_cl_t11","19","http://www.imdb.com/character/ch0007170/?ref_=ttfc_fc_cl_t11","Janice Litman","http://www.imdb.com/character/ch0007170/?ref_=ttfc_fc_cl_t11"
"Jane Sibbett","http://www.imdb.com/name/nm0796235/?ref_=ttfc_fc_cl_t12","15","http://www.imdb.com/character/ch0029173/?ref_=ttfc_fc_cl_t12","Carol Willick","http://www.imdb.com/character/ch0029173/?ref_=ttfc_fc_cl_t12"
"Helen Baxendale","http://www.imdb.com/name/nm0062636/?ref_=ttfc_fc_cl_t13","15","http://www.imdb.com/character/ch0007172/?ref_=ttfc_fc_cl_t13","Emily Waltham","http://www.imdb.com/character/ch0007172/?ref_=ttfc_fc_cl_t13"
